Index,Name,Detector,Order,EtaMin1,EtaMax1,EtaMin2,EtaMax2,minTransverse,maxTransverse,ResCalcType,MomConsWeight,ResCoreMate1,ResCorMate2,
int,string,enum,int,double,double,double,double,double,double,string,string,enum,enum,
171,trackm718,Tracker,7,-2.00,-1.60,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
172,trackm714,Tracker,7,-1.60,-1.20,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
173,trackm710,Tracker,7,-1.20,-0.80,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
174,trackm706,Tracker,7,-0.80,-0.40,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
175,trackm702,Tracker,7,-0.40,0.00,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
176,trackp702,Tracker,7,0.00,0.40,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
177,trackp706,Tracker,7,0.40,0.80,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
178,trackp710,Tracker,7,0.80,1.20,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
179,trackp714,Tracker,7,1.20,1.60,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
180,trackp718,Tracker,7,1.60,2.00,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
181,trackp722,Tracker,7,2.00,2.40,0.00,0.00,0.30,3.00,3sub,no,HFm7,HFp7,
